epsilon_beta1,epsilon_beta2,F_preparation,F_after_hold,minimum_F_hold,C_after_hold,norm_error,photonic_population_after_hold
-0.1,-0.07,0.994542935243856,0.994723441590004,0.994306728737254,0.994711952302258,2.40918396343659e-13,0.00526506912248204
-0.09,-0.07,0.994701533873184,0.994863949572943,0.994491431154915,0.994852116613744,2.56572540990874e-13,0.00512421746760028
-0.08,-0.07,0.994846924399715,0.994991542257229,0.994662588034761,0.99497934178239,2.72226685638088e-13,0.00499625726766179
-0.07,-0.07,0.994979251573689,0.995106371418908,0.994820333020917,0.995093778798452,2.1405099914773e-13,0.00488103596042231
-0.06,-0.07,0.99509867833227,0.995208606753623,0.994964818311203,0.99519559655395,4.75175454539567e-14,0.00477838304668375
-0.05,-0.07,0.995205385241808,0.995298435312757,0.995096214108667,0.995284981280967,1.17239551400417e-13,0.0046881106555633
-0.04,-0.07,0.995299569911279,0.995376060910423,0.995214708033743,0.995362135960966,6.72795152922845e-14,0.00461001414018453
-0.03,-0.07,0.99538144634988,0.995441703494513,0.9953205045056,0.99542727969833,1.77635683940025e-14,0.00454387270929878
-0.02,-0.07,0.995451244340922,0.995495598501963,0.99541382409892,0.995480647078302,3.33066907387547e-14,0.00448945007440691
-0.01,-0.07,0.995509208751382,0.99553799617432,0.995494902879587,0.995522487485358,2.04281036531029e-14,0.00444649513673545
0,-0.07,0.995555598834877,0.995569160859503,0.995555598834877,0.995553064407944,5.96966920340947e-13,0.00441474268834544
0.01,-0.07,0.99559068751473,0.995589370293087,0.995573247526834,0.995572654722731,1.73194791841524e-14,0.00439391413656514
0.02,-0.07,0.995614760627459,0.995598914847594,0.995566725084552,0.995581547947327,1.22124532708767e-14,0.00438371825214954
0.03,-0.07,0.995628116183556,0.995598096779747,0.995550051779388,0.995580045490601,1.02140518265514e-14,0.00438385193110998
0.04,-0.07,0.995631063577337,0.995587229451174,0.995523681818024,0.995568459876885,8.06021915877864e-14,0.00439400097461318
0.05,-0.07,0.995623922804744,0.995566636542584,0.995487942852401,0.995547113963579,1.26343380202343e-13,0.00441384087848773
0.06,-0.07,0.99560702364651,0.995536651242882,0.995443171752119,0.995516340133774,4.9293902293357e-14,0.00444303764798543
0.07,-0.07,0.995580704882317,0.995497615448964,0.995389713799747,0.995476479499606,1.75082170983387e-13,0.0044812486015072
0.08,-0.07,0.995545313448582,0.995449878938806,0.995327921870534,0.995427881078911,2.37809771874709e-13,0.0045281232010649
0.09,-0.07,0.995501203620678,0.995393798549868,0.995258155609882,0.995370900977221,2.94431146130592e-13,0.00458330387719476
0.1,-0.07,0.995448736183056,0.99532973734981,0.995180780601856,0.995305901562055,1.3988810110277e-13,0.00464642686242415
-0.1,-0.06,0.994590286703292,0.994769038300862,0.994354829589103,0.994758397451657,2.46469511466785e-13,0.00522032085017291
-0.09,-0.06,0.994749096804479,0.994909846701667,0.994539639530088,0.994898872043048,2.68673971959288e-13,0.00507917863944468
-0.08,-0.06,0.994894706253972,0.995037746812089,0.994710911913095,0.995026415080387,2.75224287804576e-13,0.00495092145593561
-0.07,-0.06,0.995027259954393,0.995152890527826,0.994868780581468,0.99514117766451,2.18158824338843e-13,0.00483539660864091
-0.06,-0.06,0.995146920994589,0.995255447663864,0.995013397931189,0.995243328797057,4.52970994047064e-14,0.00473243346928761
-0.05,-0.06,0.995253870091759,0.995345605390522,0.995144934362236,0.995333054818695,1.18571819029967e-13,0.00464184403776815
-0.04,-0.06,0.995348305004726,0.995423567640272,0.99526357769044,0.995410558818298,9.99200722162641e-14,0.00456342353784841
-0.03,-0.06,0.995430439891462,0.995489554478292,0.995369532529707,0.995476060006025,1.55431223447522e-14,0.00449695104944853
-0.02,-0.06,0.99550050468278,0.995543801458705,0.995463019646412,0.99552979307225,3.41948691584548e-14,0.00444219015487251
-0.01,-0.06,0.995558744391802,0.995586558938704,0.995544275297017,0.995572007504538,2.02060590481778e-14,0.00439888962714664
0,-0.06,0.995605418416776,0.995618091381062,0.995605418416776,0.995602966893157,5.92303983637521e-13,0.00436678413044429
0.01,-0.06,0.995640799823999,0.995638676634968,0.995622665699615,0.995622948214916,2.06501482580279e-14,0.00434559494499233
0.02,-0.06,0.99566517459124,0.995648605185326,0.995616641777529,0.99563224108592,1.13242748511766e-14,0.00433503071527599
0.03,-0.06,0.995678840868321,0.995648179399775,0.995600439819818,0.995631147011689,1.27675647831893e-14,0.00433478821214429
0.04,-0.06,0.995682108186881,0.99563771274941,0.995574548613653,0.995619978611412,8.63753513158372e-14,0.00434455311267648
